date,Latitude,Longitude,Available_Memory,Upload_Rate,Download_Rate,Battery_Remain,Current_CPU_Frequency
2021-12-23 15:12:50,23.071785,113.393337,2298.0,0.4537316,2.2441921,55.0,51.515151515151516
2021-12-23 15:17:50,23.071844,113.393379,2621.0,0.9995964,3.9129503,54.0,100.0
2021-12-23 15:22:50,23.071209,113.393269,2622.0,1.0084034,6.732576,52.0,100.0
2021-12-23 15:27:52,23.071209,113.393269,2662.0,0.9974187,2.8975642,52.0,100.0
2021-12-23 15:32:52,23.071209,113.393269,2157.0,0.7733364,4.532823,50.0,100.0
2021-12-23 15:37:52,23.071209,113.393269,2083.0,1.0926377,4.319011,50.0,100.0
2021-12-23 15:42:58,23.071209,113.393269,1750.0,0.8941702,5.7226896,49.0,100.0
2021-12-23 15:47:58,23.071209,113.393269,1860.0,0.7131077,7.630253,47.0,100.0
2021-12-23 15:53:57,23.071209,113.393269,2005.0,0.9047731,4.4883842,47.0,100.0
2021-12-23 16:01:20,23.071209,113.393269,1860.0,0.49227437,1.2611988,46.0,100.0
2021-12-23 16:06:20,23.071209,113.393269,1766.0,0.8821102,4.1619563,45.0,100.0
2021-12-23 16:11:20,23.071209,113.393269,2203.0,0.8621754,4.4883842,44.0,100.0
2021-12-23 16:16:36,23.071209,113.393269,2112.0,0.54372346,4.124461,43.0,57.89473684210526
2021-12-23 16:21:36,23.071209,113.393269,1976.0,0.8400278,4.319011,42.0,100.0
2021-12-23 16:26:36,23.071209,113.393269,2009.0,0.97200674,4.6715837,41.0,100.0
2021-12-23 16:42:27,23.071209,113.393269,2034.0,0.6772414,4.6715837,41.0,100.0
2021-12-23 16:47:27,23.071209,113.393269,2257.0,0.51439905,5.2622433,40.0,100.0
2021-12-23 17:07:27,23.071209,113.393269,3084.0,1.1332058,6.1866913,39.0,100.0
2021-12-23 17:17:46,23.071209,113.393269,3046.0,1.1388437,3.548955,38.0,100.0
2021-12-23 17:24:22,23.071209,113.393269,3035.0,0.73841155,4.5781517,38.0,100.0
2021-12-23 17:35:53,23.071209,113.393269,2916.0,1.2175936,4.922744,37.0,100.0
2021-12-23 17:43:38,23.071209,113.393269,2816.0,0.23251152,1.1332058,36.0,100.0
2021-12-23 17:48:38,23.071209,113.393269,2657.0,0.23251152,1.6956117,35.0,69.377990430622
2021-12-23 17:53:38,23.071209,113.393269,2333.0,1.2047768,1.8024219,34.0,100.0
2021-12-23 17:59:07,23.071209,113.393269,1987.0,3.9810014,4.319011,33.0,100.0
2021-12-23 18:04:11,23.071209,113.393269,2554.0,4.624396,8.478059,32.0,100.0
2021-12-23 18:09:12,23.071209,113.393269,1742.0,4.976252,11.445379,31.0,100.0
2021-12-23 18:23:39,23.071209,113.393269,2188.0,4.870374,9.740748,30.0,100.0
2021-12-23 18:35:47,23.071209,113.393269,2171.0,0.02653232,4.870374,30.0,100.0
2021-12-23 19:02:13,23.071209,113.393269,2677.0,0.11631483,6.1866913,29.0,100.0
2021-12-23 19:07:13,23.071209,113.393269,2581.0,0.10582875,5.8694253,28.0,100.0
2021-12-23 19:59:09,23.071209,113.393269,2482.0,0.018241828,5.9456515,27.0,69.377990430622
2021-12-23 20:04:09,23.071209,113.393269,2348.0,0.11207226,4.2786465,26.0,51.515151515151516
2021-12-23 20:50:28,23.071209,113.393269,2463.0,0.019710474,1.7341484,25.0,100.0
2021-12-23 21:25:51,23.071209,113.393269,2597.0,0.13621397,1.9733413,23.0,100.0
2021-12-23 21:35:55,23.071209,113.393269,2413.0,0.13621397,1.623458,22.0,100.0
2021-12-23 21:40:55,23.071209,113.393269,1148.0,0.24019684,0.9458991,21.0,100.0
2021-12-23 21:45:55,23.071209,113.393269,1926.0,0.6120523,0.6128717,20.0,100.0
2021-12-23 21:50:55,23.071209,113.393269,2678.0,1.0241951,1.4351573,20.0,100.0
2021-12-23 21:55:55,23.071209,113.393269,1985.0,1.3117913,2.6160867,19.0,100.0
2021-12-23 22:00:55,23.071209,113.393269,2485.0,1.4912546,1.4580101,18.0,100.0
2021-12-23 22:05:55,23.071209,113.393269,2489.0,1.6292355,1.9155447,17.0,100.0
2021-12-23 22:10:55,23.071209,113.393269,2670.0,1.6292355,1.9155447,15.0,100.0
2021-12-23 22:15:55,23.071209,113.393269,2709.0,0.81029236,1.0128654,14.0,100.0
2021-12-23 22:20:55,23.071209,113.393269,2845.0,1.6527623,1.7744775,13.0,100.0
2021-12-23 22:25:55,23.071209,113.393269,2775.0,1.4864129,2.2776873,13.0,100.0
