date,Latitude,Longitude,Available_Memory,Upload_Rate,Download_Rate,Battery_Remain,Current_CPU_Frequency
2021-12-15 08:37:08,23.060883,113.391086,2051.0,3.052101,0.77859724,68.0,80.3076923076923
2021-12-15 08:43:35,23.060454,113.389915,1560.0,0.469554,1.8762916,66.0,42.87179487179487
2021-12-15 08:48:35,23.066739,113.391934,1495.0,2.1800723,0.5280452,65.0,42.87179487179487
2021-12-15 08:54:12,23.067115,113.391648,1412.0,1.230686,1.0900362,65.0,90.15384615384616
2021-12-15 08:59:12,23.066968,113.391333,1859.0,1.1304078,0.9420065,64.0,0.0
2021-12-15 09:04:12,23.066968,113.391333,1601.0,1.156099,1.1416837,64.0,80.3076923076923
2021-12-15 09:09:12,23.066681,113.391923,1602.0,1.9905007,1.5159444,64.0,80.3076923076923
2021-12-15 09:14:12,23.06686,113.391371,1572.0,2.9160202,1.781382,64.0,15.384615384615385
2021-12-15 09:19:12,23.067177,113.391428,1941.0,2.6772816,2.3239348,63.0,0.0
2021-12-15 09:24:12,23.067037,113.391405,1869.0,2.2441921,1.5951748,62.0,15.384615384615385
2021-12-15 09:29:12,23.066965,113.391337,1638.0,2.1000695,1.7473862,61.0,100.0
2021-12-15 09:34:12,23.066854,113.391376,1514.0,2.3239348,1.8167268,60.0,23.17948717948718
2021-12-15 09:39:12,23.066854,113.391376,1539.0,2.2776873,1.5732479,60.0,15.384615384615385
2021-12-15 09:44:12,23.066854,113.391376,1528.0,2.3720994,1.6956117,60.0,42.87179487179487
2021-12-15 09:49:12,23.067058,113.391379,2233.0,2.461372,2.1697402,59.0,15.384615384615385
2021-12-15 09:54:12,23.066926,113.39134,1901.0,2.2776873,1.6468172,59.0,42.87179487179487
2021-12-15 09:59:12,23.067104,113.391544,1934.0,2.2332447,2.2664115,58.0,50.76923076923077
2021-12-15 10:01:03,23.067386,113.391636,1697.0,2.2664115,2.1697402,57.0,15.384615384615385
2021-12-15 10:08:06,23.066946,113.391341,1617.0,2.1595056,1.8917983,57.0,100.0
2021-12-15 10:13:06,23.067386,113.391636,1645.0,2.1393232,2.1595056,57.0,42.87179487179487
2021-12-15 10:18:06,23.067386,113.391636,1649.0,2.3005788,1.9818838,57.0,42.87179487179487
2021-12-15 10:23:06,23.067147,113.391451,1584.0,2.255247,1.9818838,57.0,0.0
2021-12-15 10:28:06,23.066954,113.3914,1667.0,2.0715618,1.8095462,56.0,42.87179487179487
2021-12-15 10:33:06,23.067386,113.391636,1705.0,2.0168068,1.884013,56.0,42.87179487179487
2021-12-15 10:38:06,23.067288,113.391826,1937.0,1.7019151,1.6893549,55.0,80.3076923076923
2021-12-15 10:43:06,23.067288,113.391826,1625.0,1.9991928,1.8917983,55.0,0.0
2021-12-15 10:48:06,23.067288,113.391826,1543.0,1.8167268,1.9905007,55.0,23.17948717948718
2021-12-15 10:53:06,23.067409,113.391583,2227.0,2.1905031,2.3720994,55.0,0.0
2021-12-15 10:58:07,23.067378,113.391768,1751.0,2.5719953,2.5293658,54.0,23.17948717948718
2021-12-15 11:03:07,23.066947,113.391373,1601.0,1.754081,2.2010345,53.0,33.02564102564103
2021-12-15 11:08:07,23.06711,113.391872,1514.0,1.6956117,2.1195147,52.0,33.02564102564103
2021-12-15 11:13:07,23.06711,113.391872,1561.0,1.319352,1.2079556,52.0,0.0
2021-12-15 11:18:07,23.067082,113.391382,1481.0,1.5732479,2.1097474,52.0,15.384615384615385
2021-12-15 11:23:07,23.067082,113.391382,1439.0,1.8610373,2.4746766,51.0,0.0
2021-12-15 11:28:07,23.067082,113.391382,1604.0,1.7082655,1.6292355,51.0,15.384615384615385
2021-12-15 11:33:07,23.067386,113.391636,1678.0,2.2116675,1.3873186,50.0,0.0
2021-12-15 11:38:07,23.066887,113.391358,1547.0,2.435187,1.8686333,49.0,70.46153846153847
2021-12-15 11:43:07,23.066887,113.391358,1458.0,1.6769786,1.754081,49.0,42.87179487179487
2021-12-15 11:48:07,23.066887,113.391358,1518.0,2.2441921,1.9398948,49.0,15.384615384615385
2021-12-15 11:53:07,23.066832,113.39141,1880.0,2.4482093,2.1195147,48.0,0.0
2021-12-15 11:58:07,23.066286,113.391607,1481.0,2.4482093,0.0,47.0,60.61538461538461
