date,Latitude,Longitude,Available_Memory,Upload_Rate,Download_Rate,Battery_Remain,Current_CPU_Frequency
2021-12-15 09:07:50,23.059759,113.392121,3098.0,3.0933456,3.4422193,59.0,51.515151515151516
2021-12-15 09:28:29,23.059051,113.391803,3273.0,3.0933456,0.0,61.0,100.0
2021-12-15 09:33:03,23.059051,113.391803,3648.0,3.6920578,1.9818838,67.0,80.86124401913875
2021-12-15 09:33:29,23.059051,113.391803,3467.0,3.6920578,0.0,68.0,100.0
2021-12-15 09:38:29,23.059051,113.391803,3778.0,3.6920578,0.0,73.0,100.0
2021-12-15 09:43:29,23.059051,113.391803,3172.0,3.6920578,0.0,77.0,32.37639553429027
2021-12-15 09:51:24,23.059051,113.391803,2412.0,0.38183084,0.6228778,77.0,100.0
2021-12-15 09:56:29,23.059051,113.391803,2566.0,0.91380274,0.072153695,76.0,100.0
2021-12-15 10:02:06,23.059051,113.391803,3424.0,2.7250903,3.366288,76.0,100.0
2021-12-15 10:42:04,23.06855,113.392613,3583.0,1.884013,3.7835965,76.0,32.37639553429027
2021-12-15 11:14:41,23.068892,113.392936,3190.0,3.9129503,3.548955,76.0,100.0
2021-12-15 11:44:09,23.068892,113.392936,3502.0,3.9129503,0.10495534,76.0,100.0
2021-12-15 11:51:08,23.068892,113.392936,3437.0,2.2116675,0.14204629,76.0,57.89473684210526
2021-12-15 11:53:02,23.068892,113.392936,2864.0,2.9536462,1.0061872,75.0,100.0
2021-12-15 12:30:52,23.068892,113.392936,3564.0,2.9536462,0.0,77.0,100.0
2021-12-15 12:33:12,23.068892,113.392936,3180.0,3.5216553,3.6048439,78.0,100.0
2021-12-15 12:35:52,23.068892,113.392936,3142.0,3.9810014,2.9536462,81.0,100.0
2021-12-15 12:40:52,23.068892,113.392936,3524.0,3.6920578,1.1678959,85.0,100.0
2021-12-15 12:45:52,23.068892,113.392936,3336.0,4.5781517,1.5678602,88.0,100.0
2021-12-15 12:50:52,23.068892,113.392936,3392.0,3.8151264,1.7341484,90.0,51.515151515151516
2021-12-15 12:55:52,23.068892,113.392936,3363.0,4.4883842,0.870371,93.0,100.0
2021-12-15 13:00:52,23.068892,113.392936,3308.0,4.3601446,1.6350542,94.0,38.75598086124402
2021-12-15 13:07:12,23.068892,113.392936,3178.0,4.0159225,2.2890759,93.0,100.0
2021-12-15 13:12:12,23.068892,113.392936,3272.0,4.402069,1.9235932,93.0,100.0
