date,Latitude,Longitude,Available_Memory,Upload_Rate,Download_Rate,Battery_Remain,Current_CPU_Frequency
2021-12-26 17:23:43,22.354045,113.582436,5686.0,3.6334536,2.1697402,28.0,100.0
2021-12-26 17:30:27,22.354045,113.582436,5344.0,4.124461,3.011942,27.0,100.0
2021-12-26 17:35:38,22.268731,113.56995,4960.0,4.819107,5.0309362,25.0,74.48165869218501
2021-12-26 17:43:13,22.268731,113.56995,5098.0,4.7197437,3.8471863,24.0,69.377990430622
2021-12-26 17:48:55,22.268731,113.56995,4765.0,4.768908,5.3860607,23.0,51.515151515151516
2021-12-26 17:54:00,22.268731,113.56995,4096.0,4.976252,6.271441,21.0,100.0
2021-12-26 17:59:00,22.268731,113.56995,4306.0,5.1439905,5.515846,20.0,25.996810207336523
2021-12-26 18:04:00,22.268731,113.56995,4105.0,4.870374,6.6350026,27.0,51.515151515151516
2021-12-26 18:09:00,22.268731,113.56995,4133.0,5.323432,9.343167,32.0,80.86124401913875
2021-12-26 18:14:00,22.268731,113.56995,4041.0,5.0309362,11.166224,38.0,100.0
2021-12-26 18:19:00,22.268731,113.56995,4352.0,5.0309362,9.740748,43.0,51.515151515151516
2021-12-26 18:24:00,22.268731,113.56995,4778.0,5.0309362,9.537816,52.0,25.996810207336523
2021-12-26 18:29:01,22.268731,113.56995,4625.0,0.21999767,0.38896784,58.0,100.0
2021-12-26 18:34:01,22.268731,113.56995,3871.0,2.0347342,0.29708967,64.0,100.0
2021-12-26 18:39:01,22.268731,113.56995,4644.0,4.870374,3.8797896,74.0,100.0
2021-12-26 18:44:01,22.268731,113.56995,4161.0,4.402069,3.6048439,81.0,100.0
2021-12-26 18:49:01,22.268731,113.56995,4373.0,2.6772816,3.011942,90.0,100.0
2021-12-26 18:54:01,22.268731,113.56995,4564.0,3.8797896,4.1619563,91.0,100.0
2021-12-26 19:05:32,22.268731,113.56995,4565.0,3.6048439,2.5017223,90.0,100.0
2021-12-26 19:14:42,22.268731,113.56995,4407.0,3.8151264,3.6334536,89.0,51.515151515151516
2021-12-26 19:20:03,22.268731,113.56995,3782.0,4.1619563,1.823965,88.0,51.515151515151516
2021-12-26 19:40:13,22.268731,113.56995,4638.0,4.1619563,1.823965,87.0,100.0
2021-12-26 19:45:13,22.268731,113.56995,4913.0,0.41809604,0.041137137,86.0,93.62041467304626
2021-12-26 19:50:13,22.268731,113.56995,5002.0,0.057645466,0.041137137,85.0,100.0
2021-12-26 19:56:52,22.268731,113.56995,5346.0,4.768908,1.0500348,83.0,100.0
2021-12-26 20:10:15,22.268731,113.56995,5388.0,4.5781517,2.0168068,83.0,100.0
2021-12-26 20:21:02,22.268731,113.56995,5266.0,3.0933456,2.5576265,82.0,25.996810207336523
2021-12-26 20:26:29,22.268731,113.56995,5067.0,5.086835,3.2701085,81.0,100.0
2021-12-26 20:31:29,22.268731,113.56995,4993.0,5.1439905,3.7835965,80.0,25.996810207336523
2021-12-26 20:36:29,22.268731,113.56995,3700.0,4.319011,3.9810014,79.0,100.0
2021-12-26 20:41:29,22.268731,113.56995,4864.0,4.0514617,4.319011,77.0,100.0
2021-12-26 20:46:29,22.268731,113.56995,4916.0,3.8151264,4.2786465,76.0,93.62041467304626
2021-12-26 20:51:29,22.268731,113.56995,4818.0,3.9129503,4.402069,75.0,100.0
2021-12-26 20:56:29,22.268731,113.56995,4472.0,5.0309362,3.7525833,74.0,51.515151515151516
2021-12-26 21:01:29,22.268731,113.56995,5002.0,4.319011,3.548955,73.0,100.0
