date,Latitude,Longitude,Available_Memory,Upload_Rate,Download_Rate,Battery_Remain,Current_CPU_Frequency
2021-12-19 21:49:14,23.064964,113.391367,1346.0,0.19268316,0.14878622,71.0,93.62041467304626
2021-12-19 21:54:14,23.06259,113.391315,2668.0,1.4000465,1.4130098,69.0,100.0
2021-12-19 21:58:43,23.060913,113.392213,1787.0,1.5260504,3.7525833,68.0,47.687400318979265
2021-12-19 21:59:14,23.060913,113.392213,1449.0,0.9761517,3.246916,68.0,100.0
2021-12-19 22:04:29,23.0599,113.39145,1260.0,1.7082655,4.319011,66.0,100.0
2021-12-19 22:09:29,23.059697,113.392539,1221.0,1.5841355,3.366288,65.0,100.0
2021-12-19 22:10:13,23.059893,113.391493,1211.0,4.976252,3.246916,65.0,93.62041467304626
2021-12-19 22:11:24,23.059891,113.391495,2330.0,5.4501805,3.9129503,65.0,100.0
2021-12-19 22:13:15,23.059901,113.391469,2080.0,3.8471863,2.3239348,64.0,100.0
2021-12-19 22:18:39,23.059903,113.39146,1816.0,4.4883842,1.7146636,63.0,100.0
2021-12-19 22:23:39,23.059825,113.391412,1912.0,4.4883842,2.7250903,62.0,100.0
2021-12-19 22:28:39,23.059781,113.391523,1688.0,3.3175013,2.6160867,60.0,87.24082934609251
2021-12-19 22:33:52,23.059706,113.391284,1891.0,4.7197437,2.2441921,59.0,100.0
2021-12-19 22:39:49,23.05971,113.39129,1776.0,4.1619563,2.1293728,58.0,100.0
2021-12-19 22:45:50,23.059719,113.391309,1713.0,4.3601446,2.7746372,57.0,100.0
2021-12-19 22:50:51,23.05972,113.391306,2688.0,4.200139,3.8471863,57.0,100.0
2021-12-19 22:56:24,23.059902,113.391472,1698.0,3.5216553,4.0876355,62.0,68.10207336523126
2021-12-19 23:01:24,23.059899,113.391462,1192.0,3.548955,3.2240503,70.0,100.0
2021-12-19 23:06:24,23.059892,113.391492,1279.0,4.4883842,5.1439905,76.0,100.0
2021-12-19 23:11:24,23.0599,113.391462,1253.0,4.532823,4.4883842,81.0,100.0
2021-12-19 23:16:24,23.05989,113.391487,1352.0,4.2390294,3.8797896,84.0,87.24082934609251
2021-12-19 23:21:24,23.05968,113.392292,2054.0,0.11560989,0.1570011,83.0,100.0
2021-12-19 23:26:24,23.059899,113.391499,1889.0,3.9129503,2.6012225,81.0,100.0
2021-12-19 23:31:24,23.059894,113.391488,1902.0,4.200139,5.7226896,80.0,100.0
2021-12-19 23:35:55,23.059909,113.391442,1522.0,3.6334536,2.0079613,79.0,100.0
2021-12-19 23:40:55,23.059891,113.391488,1561.0,3.6048439,2.4746766,78.0,100.0
2021-12-19 23:45:55,23.059661,113.391593,1658.0,3.246916,2.5017223,77.0,100.0
2021-12-19 23:50:55,23.059876,113.391493,2129.0,3.7220745,2.757923,76.0,100.0
2021-12-19 23:55:55,23.059154,113.39191,2023.0,4.4448075,3.1792722,75.0,100.0
2021-12-20 00:00:55,23.059901,113.391472,1091.0,4.4883842,3.5216553,73.0,100.0
2021-12-20 00:05:55,23.059901,113.391472,1481.0,3.7525833,3.2936344,72.0,100.0
2021-12-20 00:10:55,23.059908,113.391469,1893.0,3.3912234,1.9398948,70.0,100.0
2021-12-20 00:15:55,23.059903,113.391484,2092.0,4.319011,3.6625214,69.0,100.0
2021-12-20 00:20:55,23.059892,113.391486,2158.0,4.0514617,3.7525833,69.0,47.687400318979265
2021-12-20 00:25:55,23.05991,113.391469,1808.0,4.2390294,3.9129503,68.0,100.0
2021-12-20 00:30:55,23.0599,113.391463,2104.0,4.3601446,3.8797896,67.0,100.0
2021-12-20 00:35:55,23.059905,113.391461,2030.0,4.0876355,4.124461,67.0,87.24082934609251
2021-12-20 00:40:55,23.0599,113.391497,1955.0,3.9810014,3.548955,66.0,68.10207336523126
2021-12-20 00:45:55,23.059902,113.391478,1907.0,3.9810014,4.2390294,65.0,100.0
2021-12-20 00:50:55,23.059899,113.39148,1950.0,4.0876355,3.9129503,65.0,100.0
2021-12-20 00:55:55,23.059903,113.391499,2459.0,4.2786465,4.624396,64.0,100.0
2021-12-20 01:00:55,23.059904,113.391461,2265.0,4.5781517,4.819107,63.0,100.0
2021-12-20 01:05:55,23.059891,113.391487,2154.0,4.402069,4.6715837,62.0,100.0
2021-12-20 01:10:55,23.059907,113.391461,2057.0,4.2786465,4.319011,62.0,100.0
2021-12-20 01:15:55,23.059905,113.391482,1746.0,3.576681,4.402069,61.0,100.0
2021-12-20 01:20:55,23.059897,113.391481,2387.0,4.4883842,4.402069,60.0,100.0
2021-12-20 01:25:55,23.059897,113.391459,2291.0,4.0159225,5.086835,59.0,93.62041467304626
2021-12-20 01:30:55,23.059897,113.391458,2400.0,4.124461,4.532823,58.0,100.0
2021-12-20 01:36:42,23.059907,113.391464,2356.0,3.6625214,3.6625214,58.0,100.0
2021-12-20 01:41:42,23.059899,113.391475,1989.0,3.9129503,4.819107,57.0,100.0
2021-12-20 01:46:42,23.059904,113.391491,2046.0,2.757923,4.402069,56.0,100.0
2021-12-20 01:51:42,23.0599,113.39146,1997.0,2.312198,5.086835,56.0,100.0
2021-12-20 01:56:42,23.059899,113.391467,2034.0,2.5576265,5.086835,55.0,100.0
2021-12-20 02:01:42,23.059903,113.391475,2027.0,2.5865264,4.768908,55.0,100.0
2021-12-20 02:06:42,23.059898,113.3915,2584.0,2.661716,6.3585443,54.0,100.0
2021-12-20 09:34:02,23.059874,113.391497,2546.0,2.8260195,3.548955,53.0,100.0
2021-12-20 09:39:02,23.059874,113.391519,2204.0,3.4682968,5.202445,51.0,68.10207336523126
2021-12-20 09:44:02,23.059874,113.391519,1762.0,3.548955,6.732576,50.0,100.0
2021-12-20 09:49:02,23.0599,113.391518,2142.0,3.8151264,7.0433106,48.0,100.0
2021-12-20 09:54:02,23.059895,113.391522,1884.0,3.6048439,6.833062,47.0,100.0
2021-12-20 09:59:02,23.059876,113.391488,1807.0,3.4682968,7.630253,46.0,100.0
2021-12-20 10:04:02,23.059606,113.391468,2219.0,3.7220745,7.3841157,45.0,100.0
2021-12-20 10:09:02,23.059905,113.391203,2049.0,3.6920578,6.023884,44.0,100.0
2021-12-20 10:14:02,23.059893,113.391513,2070.0,3.9129503,6.6350026,43.0,100.0
2021-12-20 10:19:11,23.059894,113.391482,2353.0,4.0514617,5.652039,42.0,100.0
2021-12-20 10:25:00,23.059834,113.391227,2049.0,3.6920578,7.630253,41.0,100.0
2021-12-20 10:30:00,23.059829,113.391305,1998.0,3.548955,7.266907,40.0,100.0
2021-12-20 10:35:00,23.059835,113.391332,1948.0,3.3912234,7.5051665,39.0,100.0
2021-12-20 10:40:00,23.059887,113.391484,2011.0,3.6334536,7.153362,38.0,100.0
2021-12-20 10:45:00,23.05993,113.391463,1987.0,3.9466827,6.9365935,38.0,80.86124401913875
2021-12-20 10:50:40,23.059805,113.391518,2269.0,3.6625214,6.023884,37.0,100.0
2021-12-20 10:55:40,23.059907,113.391038,2285.0,3.9129503,6.732576,35.0,47.687400318979265
2021-12-20 11:00:40,23.059765,113.391552,2134.0,3.6048439,5.652039,35.0,100.0
2021-12-20 11:05:40,23.059765,113.391521,1917.0,3.8797896,7.266907,33.0,93.62041467304626
2021-12-20 11:10:40,23.059772,113.391506,2025.0,3.6920578,7.266907,32.0,47.687400318979265
2021-12-20 11:15:40,23.059767,113.391515,2400.0,3.576681,6.4481006,31.0,100.0
2021-12-20 11:20:40,23.059815,113.39148,2288.0,3.8151264,7.266907,30.0,100.0
2021-12-20 11:26:00,23.05988,113.391494,2294.0,3.6048439,4.5781517,28.0,100.0
2021-12-20 11:31:10,23.059859,113.391502,2240.0,3.7835965,7.630253,38.0,100.0
2021-12-20 11:36:13,23.059854,113.391501,2297.0,3.4682968,6.540217,45.0,100.0
